
time	carl level (in)	dug level (in)
2022-12-16T12:52
2022-12-16T13:22	12.5	8.7
2022-12-16T13:52	12.5	8.7
2022-12-16T14:22	12.5	8.8
2022-12-16T14:52	12.5	8.8
2022-12-16T15:22	12.5	8.9
2022-12-16T15:52	12.5	8.9
2022-12-16T16:22	12.5	8.9
2022-12-16T16:52	12.5	8.9
2022-12-16T17:22	12.5	9.0
2022-12-16T17:52	12.4	9.0
2022-12-16T18:22	12.4	9.1
2022-12-16T18:52	12.4	9.1
2022-12-16T19:22	12.4	9.2
2022-12-16T19:52	12.4	9.2
2022-12-16T20:22	12.4	9.3
2022-12-16T20:52	12.4	9.3
2022-12-16T21:22	12.4	9.4
2022-12-16T21:52	12.4	9.4
2022-12-16T22:22	12.4	9.5
2022-12-16T22:52	12.4	9.5
2022-12-16T23:22	12.4	9.6
2022-12-16T23:52	12.4	9.6
2022-12-17T00:22	12.4	9.7
2022-12-17T00:52	12.5	9.7
2022-12-17T01:22	12.5	9.8
2022-12-17T01:52	12.6	9.8
2022-12-17T02:22	12.6	9.9
2022-12-17T02:52	12.7	9.9
2022-12-17T03:22	12.7	10.0
2022-12-17T03:52	12.8	10.0
2022-12-17T04:22	12.8	10.1
2022-12-17T04:52	12.9	10.1
2022-12-17T05:22	12.9	10.2
2022-12-17T05:52	13.0	10.2
2022-12-17T06:22	13.0	10.3
2022-12-17T06:52	13.0	10.3
2022-12-17T07:22	13.1	10.4
2022-12-17T07:52	13.1	10.4
2022-12-17T08:22	13.2	10.4
2022-12-17T08:52	13.2	10.4
2022-12-17T09:22	13.3	10.5
2022-12-17T09:52	13.3	10.5
2022-12-17T10:22	13.4	10.6
2022-12-17T10:52	13.4	10.6
2022-12-17T11:22	13.5	10.7
2022-12-17T11:52	13.5	10.7
2022-12-17T12:22	13.6	10.8
2022-12-17T12:52	13.6	10.8
2022-12-17T13:22	13.7	10.9
2022-12-17T13:52	13.7	10.9
2022-12-17T14:22	13.8	11.0
2022-12-17T14:52	13.8	11.0
2022-12-17T15:22	13.8	11.1
2022-12-17T15:52	13.8	11.1
2022-12-17T16:22	13.9	11.2
2022-12-17T16:52	13.9	11.2
2022-12-17T17:22	13.9	11.2
2022-12-17T17:52	13.9	11.2
2022-12-17T18:22	13.9	11.3
2022-12-17T18:52	13.9	11.3
2022-12-17T19:22	14.0	11.4
